INFO:training:Epoch: 1 | Training Loss: 1799118.2216981133 | MAE: 3511963.5141 | MSE: 7591060604579.701 | RMSE: 1376.8408 | RSE: 28.6647 | RAE: 12.2015 | Correlation: -0.8008000254631042
INFO:training:Epoch: 2 | Training Loss: 1368859.1320754718 | MAE: 3008996.7977 | MSE: 5891765460150.53 | RMSE: 1280.197 | RSE: 32.411 | RAE: 10.7832 | Correlation: -0.8007000088691711
INFO:training:Epoch: 3 | Training Loss: 1197929.2451356133 | MAE: 2482012.3802 | MSE: 4304505404463.021 | RMSE: 1170.221 | RSE: 26.1508 | RAE: 9.2084 | Correlation: -0.7968000173568726
INFO:training:Epoch: 4 | Training Loss: 1039471.8782429246 | MAE: 2461120.8697 | MSE: 4227649386356.68 | RMSE: 1162.2713 | RSE: 27.227 | RAE: 9.7672 | Correlation: -0.7944999933242798
INFO:training:Epoch: 5 | Training Loss: 978461.758254717 | MAE: 2262507.15 | MSE: 3482833795211.32 | RMSE: 1114.0278 | RSE: 20.0054 | RAE: 8.8376 | Correlation: -0.7906000018119812
INFO:training:Epoch: 6 | Training Loss: 830910.1821933963 | MAE: 2026478.9618 | MSE: 3129229733733.007 | RMSE: 1060.0776 | RSE: 24.1423 | RAE: 8.5057 | Correlation: -0.7659000158309937
INFO:training:Epoch: 7 | Training Loss: 751573.0819575472 | MAE: 2108449.0483 | MSE: 3356340711060.898 | RMSE: 1077.6824 | RSE: 35.4241 | RAE: 10.0601 | Correlation: -0.3172999918460846
INFO:training:Epoch: 8 | Training Loss: 671736.1624410377 | MAE: 2086062.9114 | MSE: 3327441036079.891 | RMSE: 1071.0231 | RSE: 41.4544 | RAE: 11.2451 | Correlation: 0.7378000020980835
INFO:training:Epoch: 9 | Training Loss: 642283.9377948113 | MAE: 1837688.0781 | MSE: 2835804032563.102 | RMSE: 1012.0671 | RSE: 40.8844 | RAE: 10.2496 | Correlation: 0.7802000045776367
INFO:training:Epoch: 10 | Training Loss: 596734.3443396227 | MAE: 1860832.2326 | MSE: 2939345020664.381 | RMSE: 1016.1453 | RSE: 34.961 | RAE: 9.3258 | Correlation: 0.7807000279426575
INFO:training:Epoch: 11 | Training Loss: 598836.6547759434 | MAE: 1899754.5675 | MSE: 3082963288412.2993 | RMSE: 1024.0046 | RSE: 36.8225 | RAE: 9.5432 | Correlation: 0.7803999781608582
INFO:training:Epoch: 12 | Training Loss: 577809.7499262972 | MAE: 1771854.2866 | MSE: 2631933368817.1973 | RMSE: 990.8069 | RSE: 27.3025 | RAE: 8.0742 | Correlation: 0.7900999784469604
INFO:training:Epoch: 13 | Training Loss: 525615.1163767689 | MAE: 1767735.6556 | MSE: 2691289710890.2314 | RMSE: 990.5971 | RSE: 31.9271 | RAE: 8.5667 | Correlation: 0.7900999784469604
INFO:training:Epoch: 14 | Training Loss: 524664.0078862028 | MAE: 1642875.7507 | MSE: 2467242653573.6597 | RMSE: 959.2767 | RSE: 28.7267 | RAE: 8.0495 | Correlation: 0.7943000197410583
INFO:training:Epoch: 15 | Training Loss: 519299.29890182783 | MAE: 1797465.8629 | MSE: 2674440348171.102 | RMSE: 996.6616 | RSE: 30.0451 | RAE: 8.354 | Correlation: 0.7925999760627747
INFO:training:Epoch: 16 | Training Loss: 526887.7170548349 | MAE: 1630476.3723 | MSE: 2416560898828.8438 | RMSE: 956.6965 | RSE: 28.1502 | RAE: 7.6935 | Correlation: 0.7962999939918518
INFO:training:Epoch: 17 | Training Loss: 518732.57244988205 | MAE: 1802466.9436 | MSE: 2720946684607.782 | RMSE: 997.9202 | RSE: 27.4925 | RAE: 7.6386 | Correlation: 0.7932000160217285
INFO:training:Epoch: 18 | Training Loss: 500801.67688679247 | MAE: 1603005.284 | MSE: 2408058850236.952 | RMSE: 949.7642 | RSE: 26.4443 | RAE: 7.254 | Correlation: 0.7971000075340271
INFO:training:Epoch: 19 | Training Loss: 523158.4951356132 | MAE: 1698902.4795 | MSE: 2606316716598.857 | RMSE: 973.8542 | RSE: 32.4036 | RAE: 8.6074 | Correlation: 0.7946000099182129
INFO:training:Epoch: 20 | Training Loss: 479172.89729510614 | MAE: 1719643.8302 | MSE: 2587234704880.3267 | RMSE: 979.4986 | RSE: 33.119 | RAE: 8.751 | Correlation: 0.7954999804496765
INFO:training:Epoch: 21 | Training Loss: 506508.4549675708 | MAE: 1621497.9825 | MSE: 2362363421839.6733 | RMSE: 953.0238 | RSE: 25.0674 | RAE: 7.9154 | Correlation: 0.7978000044822693
INFO:training:Epoch: 22 | Training Loss: 494130.4106353184 | MAE: 1645970.9724 | MSE: 2428492843615.347 | RMSE: 960.7735 | RSE: 24.0815 | RAE: 6.9069 | Correlation: 0.7968999743461609
INFO:training:Epoch: 23 | Training Loss: 481222.6784714033 | MAE: 1666884.8442 | MSE: 2443437194204.735 | RMSE: 967.4804 | RSE: 27.6929 | RAE: 7.588 | Correlation: 0.7972000241279602
INFO:training:Epoch: 24 | Training Loss: 482550.664946934 | MAE: 1758217.6412 | MSE: 2645522215450.5576 | RMSE: 988.1553 | RSE: 37.0584 | RAE: 9.4721 | Correlation: 0.7961000204086304
INFO:training:Epoch: 25 | Training Loss: 471447.1149395637 | MAE: 1697608.3386 | MSE: 2551446242721.959 | RMSE: 973.2686 | RSE: 37.2074 | RAE: 9.5937 | Correlation: 0.7967000007629395
INFO:training:Epoch: 26 | Training Loss: 486833.164504717 | MAE: 1814506.9824 | MSE: 2761897617731.048 | RMSE: 1001.9968 | RSE: 40.6595 | RAE: 10.4076 | Correlation: 0.795199990272522
INFO:training:Epoch: 27 | Training Loss: 455857.9341096698 | MAE: 1484608.1705 | MSE: 2190161843907.9185 | RMSE: 916.3222 | RSE: 20.1444 | RAE: 6.9834 | Correlation: 0.8004000186920166
INFO:training:Epoch: 28 | Training Loss: 445517.0708284198 | MAE: 1701077.2045 | MSE: 2483876828641.524 | RMSE: 972.4433 | RSE: 34.8268 | RAE: 9.3274 | Correlation: 0.7979999780654907
INFO:training:Epoch: 29 | Training Loss: 480590.463775059 | MAE: 1810533.2096 | MSE: 2736514485628.2993 | RMSE: 1000.8664 | RSE: 40.0572 | RAE: 10.408 | Correlation: 0.7954000234603882
INFO:training:Epoch: 30 | Training Loss: 447443.3063826651 | MAE: 1653829.9946 | MSE: 2560027386084.5713 | RMSE: 959.6132 | RSE: 27.5358 | RAE: 7.7363 | Correlation: 0.7965999841690063
INFO:training:Epoch: 31 | Training Loss: 437541.10281544813 | MAE: 1559020.6579 | MSE: 2381818020303.6733 | RMSE: 935.5244 | RSE: 22.0575 | RAE: 6.6725 | Correlation: 0.7979999780654907
INFO:training:Epoch: 32 | Training Loss: 436041.6774764151 | MAE: 1704376.6437 | MSE: 2614939298720.4355 | RMSE: 973.0264 | RSE: 40.557 | RAE: 9.9177 | Correlation: 0.796999990940094
INFO:training:Epoch: 33 | Training Loss: 449035.6550707547 | MAE: 1635721.1584 | MSE: 2424054216488.4897 | RMSE: 954.1869 | RSE: 29.6719 | RAE: 7.2145 | Correlation: 0.7989000082015991
INFO:training:Epoch: 34 | Training Loss: 429132.6906692217 | MAE: 1614970.3121 | MSE: 2388043818976.653 | RMSE: 952.0073 | RSE: 30.832 | RAE: 9.1308 | Correlation: 0.7985000014305115
INFO:training:Epoch: 35 | Training Loss: 429827.2943691038 | MAE: 1816555.5455 | MSE: 2671540265855.1294 | RMSE: 1002.0071 | RSE: 49.0189 | RAE: 12.098 | Correlation: 0.7971000075340271
INFO:training:Epoch: 36 | Training Loss: 423363.3727152123 | MAE: 2150660.5651 | MSE: 3301580701659.4287 | RMSE: 1080.9943 | RSE: 65.6873 | RAE: 16.4653 | Correlation: 0.7937999963760376
