INFO:training:Epoch: 1 | Training Loss: 56658227.333333336 | MAE: 29754584.7241 | MSE: 94773009851215.45 | RMSE: 2750.3112 | RSE: 25.1538 | RAE: 9.4093 | Correlation: -0.7872999906539917
INFO:training:Epoch: 2 | Training Loss: 14073709.904761905 | MAE: 19773156.0086 | MSE: 39635126330191.445 | RMSE: 2273.9882 | RSE: 11.9107 | RAE: 6.5925 | Correlation: -0.7930999994277954
INFO:training:Epoch: 3 | Training Loss: 10751530.30952381 | MAE: 15976036.5086 | MSE: 28976075939557.516 | RMSE: 2065.415 | RSE: 8.3019 | RAE: 5.0944 | Correlation: -0.7972000241279602
INFO:training:Epoch: 4 | Training Loss: 7016627.452380952 | MAE: 16692414.3233 | MSE: 34780961059310.344 | RMSE: 2110.9322 | RSE: 17.1198 | RAE: 5.6925 | Correlation: -0.7968999743461609
INFO:training:Epoch: 5 | Training Loss: 7073319.452380952 | MAE: 19192617.0 | MSE: 41735569578619.586 | RMSE: 2239.8392 | RSE: 24.3743 | RAE: 8.4292 | Correlation: -0.795199990272522
INFO:training:Epoch: 6 | Training Loss: 7519502.321428572 | MAE: 18358500.0065 | MSE: 41279230161037.24 | RMSE: 2208.4407 | RSE: 22.8943 | RAE: 7.2237 | Correlation: -0.7936999797821045
INFO:training:Epoch: 7 | Training Loss: 5360689.833333333 | MAE: 16515609.569 | MSE: 36616047106118.62 | RMSE: 2124.8362 | RSE: 14.9888 | RAE: 5.2075 | Correlation: -0.7922000288963318
INFO:training:Epoch: 8 | Training Loss: 4946976.821428572 | MAE: 15142571.6422 | MSE: 32729005007695.45 | RMSE: 2056.0855 | RSE: 17.5423 | RAE: 5.4433 | Correlation: -0.7896999716758728
INFO:training:Epoch: 9 | Training Loss: 4743949.904761905 | MAE: 15504468.7155 | MSE: 34537401448236.133 | RMSE: 2075.6367 | RSE: 18.496 | RAE: 5.7059 | Correlation: -0.7886999845504761
INFO:training:Epoch: 10 | Training Loss: 4551095.821428572 | MAE: 15666869.0474 | MSE: 35849196134682.484 | RMSE: 2082.9269 | RSE: 21.0956 | RAE: 6.3499 | Correlation: -0.7860999703407288
INFO:training:Epoch: 11 | Training Loss: 4043913.095238095 | MAE: 14203845.5 | MSE: 27999210629614.344 | RMSE: 1984.0325 | RSE: 14.9445 | RAE: 5.0278 | Correlation: -0.7856000065803528
INFO:training:Epoch: 12 | Training Loss: 4818190.595238095 | MAE: 14770240.0259 | MSE: 31386185540431.45 | RMSE: 2022.71 | RSE: 19.0039 | RAE: 5.832 | Correlation: -0.7825999855995178
INFO:training:Epoch: 13 | Training Loss: 4122880.119047619 | MAE: 17322708.9569 | MSE: 42175123683116.14 | RMSE: 2175.3093 | RSE: 25.8514 | RAE: 7.5175 | Correlation: -0.7785999774932861
INFO:training:Epoch: 14 | Training Loss: 5460978.44047619 | MAE: 20444802.8664 | MSE: 56117496601211.586 | RMSE: 2346.1676 | RSE: 28.8244 | RAE: 8.7291 | Correlation: -0.7735000252723694
INFO:training:Epoch: 15 | Training Loss: 4293273.18452381 | MAE: 15678030.9828 | MSE: 36837210756908.14 | RMSE: 2090.9797 | RSE: 24.651 | RAE: 6.8728 | Correlation: -0.7749000191688538
INFO:training:Epoch: 16 | Training Loss: 4244076.130952381 | MAE: 17857726.7888 | MSE: 43327191318528.0 | RMSE: 2206.8257 | RSE: 29.1567 | RAE: 8.5867 | Correlation: -0.7698000073432922
INFO:training:Epoch: 17 | Training Loss: 4722812.630952381 | MAE: 14571887.7069 | MSE: 30808029293038.344 | RMSE: 2015.5413 | RSE: 24.3226 | RAE: 6.78 | Correlation: -0.7699000239372253
INFO:training:Epoch: 18 | Training Loss: 5082826.761904762 | MAE: 18995732.0216 | MSE: 42424690461448.83 | RMSE: 2238.2719 | RSE: 33.6205 | RAE: 10.3248 | Correlation: -0.7646999955177307
INFO:training:Epoch: 19 | Training Loss: 4342246.047619048 | MAE: 15052138.3879 | MSE: 30602181021554.758 | RMSE: 2033.8937 | RSE: 18.0279 | RAE: 5.7844 | Correlation: -0.7626000046730042
INFO:training:Epoch: 20 | Training Loss: 4101729.619047619 | MAE: 14041146.0075 | MSE: 28742590498321.656 | RMSE: 1980.8783 | RSE: 28.3523 | RAE: 7.7144 | Correlation: -0.7544000148773193
INFO:training:Epoch: 21 | Training Loss: 3660768.714285714 | MAE: 15855054.6336 | MSE: 32246326679763.867 | RMSE: 2070.8886 | RSE: 31.7489 | RAE: 9.0238 | Correlation: -0.7451000213623047
INFO:training:Epoch: 22 | Training Loss: 4405154.75 | MAE: 13790374.3233 | MSE: 26736949290937.38 | RMSE: 1960.7047 | RSE: 20.1314 | RAE: 6.0585 | Correlation: -0.737500011920929
INFO:training:Epoch: 23 | Training Loss: 3773126.654761905 | MAE: 13341852.8513 | MSE: 25377353118119.723 | RMSE: 1934.6613 | RSE: 22.1767 | RAE: 6.3089 | Correlation: -0.7278000116348267
INFO:training:Epoch: 24 | Training Loss: 3599657.9523809524 | MAE: 15009263.2759 | MSE: 31973339702095.45 | RMSE: 2039.5793 | RSE: 22.796 | RAE: 6.8349 | Correlation: -0.7109000086784363
INFO:training:Epoch: 25 | Training Loss: 3199061.898809524 | MAE: 15255615.2845 | MSE: 32774977807748.414 | RMSE: 2052.0406 | RSE: 24.7913 | RAE: 7.2176 | Correlation: -0.6852999925613403
INFO:training:Epoch: 26 | Training Loss: 3111683.660714286 | MAE: 16218572.2586 | MSE: 35806257357647.445 | RMSE: 2105.0356 | RSE: 26.4866 | RAE: 7.7535 | Correlation: -0.6527000069618225
INFO:training:Epoch: 27 | Training Loss: 2905728.839285714 | MAE: 14003796.3793 | MSE: 26635553792282.484 | RMSE: 1971.7822 | RSE: 19.2048 | RAE: 5.9806 | Correlation: -0.6481000185012817
