INFO:training:Epoch: 1 | Training Loss: 1551220.706451613 | MAE: 32448939.6552 | MSE: 57607049174192.555 | RMSE: 2733.7604 | RSE: 419.3053 | RAE: 139.8332 | Correlation: 0.8679999709129333
INFO:training:Epoch: 2 | Training Loss: 1475860.3290322581 | MAE: 30688822.3448 | MSE: 52079429482284.14 | RMSE: 2662.0517 | RSE: 394.5666 | RAE: 131.5836 | Correlation: 0.867900013923645
INFO:training:Epoch: 3 | Training Loss: 1390585.8677419354 | MAE: 28936973.8276 | MSE: 46907437052610.2 | RMSE: 2588.9144 | RSE: 369.5686 | RAE: 123.2701 | Correlation: 0.8673999905586243
INFO:training:Epoch: 4 | Training Loss: 1301332.5548387098 | MAE: 27214983.6897 | MSE: 42122814486316.14 | RMSE: 2514.87 | RSE: 344.8244 | RAE: 115.0363 | Correlation: 0.8665000200271606
INFO:training:Epoch: 5 | Training Loss: 1206513.6967741936 | MAE: 25395127.6897 | MSE: 37399204977840.555 | RMSE: 2434.2879 | RSE: 318.2816 | RAE: 106.2277 | Correlation: 0.864799976348877
INFO:training:Epoch: 6 | Training Loss: 1090491.1161290323 | MAE: 22857250.0517 | MSE: 31409643879318.066 | RMSE: 2317.6531 | RSE: 280.3773 | RAE: 93.7117 | Correlation: 0.8615999817848206
INFO:training:Epoch: 7 | Training Loss: 959574.4822580646 | MAE: 20127132.9828 | MSE: 25710180442959.45 | RMSE: 2185.691 | RSE: 241.2926 | RAE: 80.6917 | Correlation: 0.8593000173568726
INFO:training:Epoch: 8 | Training Loss: 818414.3177419355 | MAE: 17372190.0862 | MSE: 20774122051654.62 | RMSE: 2044.6427 | RSE: 202.2523 | RAE: 67.6395 | Correlation: 0.8580999970436096
INFO:training:Epoch: 9 | Training Loss: 676227.4225806452 | MAE: 14290602.1379 | MSE: 16263227384655.45 | RMSE: 1875.4136 | RSE: 156.7234 | RAE: 52.5021 | Correlation: 0.85589998960495
INFO:training:Epoch: 10 | Training Loss: 530372.8177419355 | MAE: 11451073.4914 | MSE: 13034910863218.758 | RMSE: 1706.6328 | RSE: 114.5584 | RAE: 38.4714 | Correlation: 0.8539000153541565
INFO:training:Epoch: 11 | Training Loss: 397081.6322580645 | MAE: 8861263.056 | MSE: 10900510636950.068 | RMSE: 1538.7987 | RSE: 74.515 | RAE: 25.1898 | Correlation: 0.8510000109672546
INFO:training:Epoch: 12 | Training Loss: 275733.27137096773 | MAE: 6134436.0539 | MSE: 9468819709952.0 | RMSE: 1339.6115 | RSE: 28.0876 | RAE: 9.8871 | Correlation: 0.8478000164031982
INFO:training:Epoch: 13 | Training Loss: 193611.9935483871 | MAE: 4899485.252 | MSE: 9179035974770.758 | RMSE: 1246.3857 | RSE: 1.6595 | RAE: 1.3835 | Correlation: 0.8464999794960022
INFO:training:Epoch: 14 | Training Loss: 189875.08407258065 | MAE: 4889818.359 | MSE: 9158910393728.0 | RMSE: 1245.552 | RSE: 2.8479 | RAE: 1.747 | Correlation: 0.8463000059127808
INFO:training:Epoch: 15 | Training Loss: 189289.90120967742 | MAE: 4975024.202 | MSE: 9161994818383.45 | RMSE: 1251.5564 | RSE: 4.1123 | RAE: 2.1357 | Correlation: 0.8467000126838684
INFO:training:Epoch: 16 | Training Loss: 181365.33931451614 | MAE: 5011928.3623 | MSE: 9161968236972.139 | RMSE: 1254.1695 | RSE: 5.1423 | RAE: 2.4459 | Correlation: 0.8467000126838684
INFO:training:Epoch: 17 | Training Loss: 185493.78669354838 | MAE: 4889110.7124 | MSE: 9137383048680.275 | RMSE: 1245.329 | RSE: 1.581 | RAE: 1.3498 | Correlation: 0.8464999794960022
INFO:training:Epoch: 18 | Training Loss: 181988.10725806453 | MAE: 4972321.2228 | MSE: 9157032942084.414 | RMSE: 1251.2367 | RSE: 4.0584 | RAE: 2.119 | Correlation: 0.8467000126838684
INFO:training:Epoch: 19 | Training Loss: 177830.48951612902 | MAE: 5076455.5307 | MSE: 9181162616540.69 | RMSE: 1258.8576 | RSE: 6.8076 | RAE: 2.9517 | Correlation: 0.847000002861023
INFO:training:Epoch: 20 | Training Loss: 177010.0383064516 | MAE: 5086699.3015 | MSE: 9186376589673.932 | RMSE: 1259.651 | RSE: 6.8393 | RAE: 2.9631 | Correlation: 0.8471999764442444
INFO:training:Epoch: 21 | Training Loss: 172639.33568548388 | MAE: 4997348.2134 | MSE: 9166726961756.69 | RMSE: 1253.108 | RSE: 4.527 | RAE: 2.2541 | Correlation: 0.847100019454956
INFO:training:Epoch: 22 | Training Loss: 178963.81612903226 | MAE: 4946903.9887 | MSE: 9152909765923.31 | RMSE: 1249.4096 | RSE: 3.0379 | RAE: 1.816 | Correlation: 0.8471999764442444
INFO:training:Epoch: 23 | Training Loss: 178097.9191532258 | MAE: 4923975.3525 | MSE: 9142296277861.518 | RMSE: 1247.737 | RSE: 2.3235 | RAE: 1.6044 | Correlation: 0.8471999764442444
INFO:training:Epoch: 24 | Training Loss: 179932.43387096774 | MAE: 4888565.473 | MSE: 9130245015409.379 | RMSE: 1245.291 | RSE: 1.4664 | RAE: 1.2801 | Correlation: 0.847100019454956
INFO:training:Epoch: 25 | Training Loss: 176257.28891129032 | MAE: 4886605.4535 | MSE: 9122145728856.828 | RMSE: 1245.0794 | RSE: 1.8383 | RAE: 1.4373 | Correlation: 0.847000002861023
INFO:training:Epoch: 26 | Training Loss: 169785.54213709678 | MAE: 4886039.7299 | MSE: 9113066877274.482 | RMSE: 1244.982 | RSE: 2.0233 | RAE: 1.4985 | Correlation: 0.847100019454956
INFO:training:Epoch: 27 | Training Loss: 175081.51693548387 | MAE: 4924342.5709 | MSE: 9113058517433.379 | RMSE: 1247.5577 | RSE: 2.5023 | RAE: 1.6576 | Correlation: 0.8472999930381775
INFO:training:Epoch: 28 | Training Loss: 170698.8372983871 | MAE: 4893653.5583 | MSE: 9101971009133.242 | RMSE: 1245.4008 | RSE: 1.5817 | RAE: 1.3511 | Correlation: 0.8471999764442444
INFO:training:Epoch: 29 | Training Loss: 173381.2993951613 | MAE: 4931552.056 | MSE: 9100568567446.068 | RMSE: 1247.927 | RSE: 2.8093 | RAE: 1.7476 | Correlation: 0.8472999930381775
INFO:training:Epoch: 30 | Training Loss: 172224.03346774195 | MAE: 4881673.0773 | MSE: 9085103011428.242 | RMSE: 1244.4512 | RSE: 1.4433 | RAE: 1.2582 | Correlation: 0.847100019454956
INFO:training:Epoch: 31 | Training Loss: 173984.7012096774 | MAE: 4951005.3017 | MSE: 9087884779718.621 | RMSE: 1249.1664 | RSE: 3.4876 | RAE: 1.9477 | Correlation: 0.8471999764442444
INFO:training:Epoch: 32 | Training Loss: 173041.30987903225 | MAE: 4876149.1348 | MSE: 9066548710791.172 | RMSE: 1243.94 | RSE: 1.5977 | RAE: 1.3484 | Correlation: 0.847000002861023
INFO:training:Epoch: 33 | Training Loss: 170754.66653225807 | MAE: 4875754.8286 | MSE: 9060698738503.725 | RMSE: 1243.8562 | RSE: 1.5098 | RAE: 1.3068 | Correlation: 0.8468999862670898
INFO:training:Epoch: 34 | Training Loss: 170923.5756048387 | MAE: 4920522.9341 | MSE: 9061239930145.104 | RMSE: 1246.8505 | RSE: 2.6588 | RAE: 1.7028 | Correlation: 0.847100019454956
INFO:training:Epoch: 35 | Training Loss: 174120.1633064516 | MAE: 4878808.1222 | MSE: 9046677176422.793 | RMSE: 1243.9323 | RSE: 1.4619 | RAE: 1.2835 | Correlation: 0.8468999862670898
INFO:training:Epoch: 36 | Training Loss: 169042.68064516128 | MAE: 4899072.229 | MSE: 9042014450523.586 | RMSE: 1245.2433 | RSE: 2.0485 | RAE: 1.519 | Correlation: 0.8468999862670898
INFO:training:Epoch: 37 | Training Loss: 167268.0193548387 | MAE: 4873632.3433 | MSE: 9029378649830.758 | RMSE: 1243.4482 | RSE: 1.4402 | RAE: 1.2589 | Correlation: 0.8468000292778015
INFO:training:Epoch: 38 | Training Loss: 172752.6135080645 | MAE: 4919803.0967 | MSE: 9029014931522.207 | RMSE: 1246.5507 | RSE: 2.8037 | RAE: 1.7457 | Correlation: 0.8467000126838684
INFO:training:Epoch: 39 | Training Loss: 168961.94677419355 | MAE: 4918982.5307 | MSE: 9020968042454.068 | RMSE: 1246.4362 | RSE: 2.8182 | RAE: 1.7501 | Correlation: 0.8465999960899353
INFO:training:Epoch: 40 | Training Loss: 168071.99536290322 | MAE: 4872866.0734 | MSE: 9005079647825.31 | RMSE: 1243.1618 | RSE: 1.4762 | RAE: 1.2946 | Correlation: 0.8464000225067139
INFO:training:Epoch: 41 | Training Loss: 172119.70262096773 | MAE: 4882860.299 | MSE: 9000052277469.242 | RMSE: 1243.7561 | RSE: 1.7576 | RAE: 1.4214 | Correlation: 0.8463000059127808
INFO:training:Epoch: 42 | Training Loss: 165470.4441532258 | MAE: 4901082.6447 | MSE: 8994048963371.035 | RMSE: 1244.9498 | RSE: 2.3791 | RAE: 1.62 | Correlation: 0.8463000059127808
INFO:training:Epoch: 43 | Training Loss: 169588.44858870967 | MAE: 4872657.2894 | MSE: 8980840856565.242 | RMSE: 1242.9076 | RSE: 1.5658 | RAE: 1.3442 | Correlation: 0.8461999893188477
INFO:training:Epoch: 44 | Training Loss: 164136.25947580647 | MAE: 4858789.7713 | MSE: 8967552907319.586 | RMSE: 1241.8735 | RSE: 1.5406 | RAE: 1.3222 | Correlation: 0.8460000157356262
INFO:training:Epoch: 45 | Training Loss: 166955.47096774195 | MAE: 4895939.8648 | MSE: 8967798613811.861 | RMSE: 1244.3319 | RSE: 2.3858 | RAE: 1.6211 | Correlation: 0.8460000157356262
INFO:training:Epoch: 46 | Training Loss: 159547.3370967742 | MAE: 4860714.3739 | MSE: 8953387765309.139 | RMSE: 1241.8602 | RSE: 1.4424 | RAE: 1.2642 | Correlation: 0.8457000255584717
INFO:training:Epoch: 47 | Training Loss: 165723.90282258065 | MAE: 4930373.743 | MSE: 8960089823386.482 | RMSE: 1246.6434 | RSE: 3.5122 | RAE: 1.953 | Correlation: 0.84579998254776
INFO:training:Epoch: 48 | Training Loss: 170426.01733870967 | MAE: 4882936.5275 | MSE: 8943893517089.104 | RMSE: 1243.2022 | RSE: 2.0728 | RAE: 1.5252 | Correlation: 0.8456000089645386
INFO:training:Epoch: 49 | Training Loss: 164662.3991935484 | MAE: 4891692.1312 | MSE: 8937647081967.45 | RMSE: 1243.7495 | RSE: 2.3805 | RAE: 1.6191 | Correlation: 0.8456000089645386
INFO:training:Epoch: 50 | Training Loss: 161621.4943548387 | MAE: 4864086.7005 | MSE: 8923342294674.346 | RMSE: 1241.7597 | RSE: 1.5751 | RAE: 1.3489 | Correlation: 0.8453999757766724
INFO:training:Epoch: 51 | Training Loss: 163023.65725806452 | MAE: 4851477.0831 | MSE: 8912848277891.31 | RMSE: 1240.8186 | RSE: 1.4926 | RAE: 1.2985 | Correlation: 0.8452000021934509
INFO:training:Epoch: 52 | Training Loss: 163761.76673387096 | MAE: 4886868.0713 | MSE: 8912912631430.621 | RMSE: 1243.1517 | RSE: 2.3418 | RAE: 1.6067 | Correlation: 0.8450999855995178
INFO:training:Epoch: 53 | Training Loss: 159091.1570564516 | MAE: 4850272.3892 | MSE: 8896822008514.139 | RMSE: 1240.575 | RSE: 1.4521 | RAE: 1.2711 | Correlation: 0.8449000120162964
INFO:training:Epoch: 54 | Training Loss: 170160.77963709677 | MAE: 4866408.7542 | MSE: 8893766289919.45 | RMSE: 1241.572 | RSE: 1.759 | RAE: 1.4215 | Correlation: 0.8449000120162964
INFO:training:Epoch: 55 | Training Loss: 166601.9054435484 | MAE: 4856979.4145 | MSE: 8882776952569.242 | RMSE: 1240.8406 | RSE: 1.5409 | RAE: 1.3321 | Correlation: 0.8447999954223633
INFO:training:Epoch: 56 | Training Loss: 164479.25463709678 | MAE: 4844560.9115 | MSE: 8870007641086.346 | RMSE: 1239.9058 | RSE: 1.5865 | RAE: 1.3444 | Correlation: 0.8446000218391418
INFO:training:Epoch: 57 | Training Loss: 168424.51491935484 | MAE: 4869245.3078 | MSE: 8869352119716.414 | RMSE: 1241.5114 | RSE: 1.9671 | RAE: 1.4902 | Correlation: 0.8446000218391418
INFO:training:Epoch: 58 | Training Loss: 169199.90282258065 | MAE: 4851570.619 | MSE: 8858172291074.275 | RMSE: 1240.2317 | RSE: 1.5013 | RAE: 1.3103 | Correlation: 0.8443999886512756
INFO:training:Epoch: 59 | Training Loss: 162632.89899193548 | MAE: 4958621.6061 | MSE: 8871458172027.586 | RMSE: 1247.6993 | RSE: 4.6524 | RAE: 2.2858 | Correlation: 0.8445000052452087
INFO:training:Epoch: 60 | Training Loss: 164015.89616935485 | MAE: 4865753.6911 | MSE: 8844953714216.828 | RMSE: 1241.0405 | RSE: 1.9579 | RAE: 1.4872 | Correlation: 0.8442000150680542
INFO:training:Epoch: 61 | Training Loss: 163213.98951612902 | MAE: 4867904.9523 | MSE: 8838643179046.621 | RMSE: 1241.1245 | RSE: 2.0504 | RAE: 1.5168 | Correlation: 0.8440999984741211
INFO:training:Epoch: 62 | Training Loss: 165334.6654233871 | MAE: 4892219.1624 | MSE: 8835091389188.414 | RMSE: 1242.7378 | RSE: 2.8405 | RAE: 1.7529 | Correlation: 0.843999981880188
INFO:training:Epoch: 63 | Training Loss: 164465.64112903227 | MAE: 4848541.8613 | MSE: 8819035323279.725 | RMSE: 1239.644 | RSE: 1.5445 | RAE: 1.3345 | Correlation: 0.8438000082969666
INFO:training:Epoch: 64 | Training Loss: 165061.77399193548 | MAE: 4841846.6232 | MSE: 8809973992101.45 | RMSE: 1239.1321 | RSE: 1.4496 | RAE: 1.2742 | Correlation: 0.8436999917030334
INFO:training:Epoch: 65 | Training Loss: 160604.73991935485 | MAE: 4876247.5469 | MSE: 8812452042105.379 | RMSE: 1241.3889 | RSE: 2.4174 | RAE: 1.6282 | Correlation: 0.8438000082969666
INFO:training:Epoch: 66 | Training Loss: 160061.54858870967 | MAE: 4835562.9401 | MSE: 8795436971655.656 | RMSE: 1238.5464 | RSE: 1.4866 | RAE: 1.2966 | Correlation: 0.843500018119812
INFO:training:Epoch: 67 | Training Loss: 165207.15201612902 | MAE: 4833274.2407 | MSE: 8785122690704.827 | RMSE: 1238.3122 | RSE: 1.5537 | RAE: 1.3304 | Correlation: 0.8432999849319458
INFO:training:Epoch: 68 | Training Loss: 158526.74495967742 | MAE: 4833509.4861 | MSE: 8778186616335.104 | RMSE: 1238.2623 | RSE: 1.475 | RAE: 1.2901 | Correlation: 0.8432999849319458
INFO:training:Epoch: 69 | Training Loss: 165225.22278225806 | MAE: 4834735.0258 | MSE: 8771596123210.206 | RMSE: 1238.2651 | RSE: 1.4404 | RAE: 1.2601 | Correlation: 0.8431000113487244
INFO:training:Epoch: 70 | Training Loss: 158196.84495967743 | MAE: 4919865.1153 | MSE: 8781621990799.448 | RMSE: 1244.0832 | RSE: 3.8372 | RAE: 2.0447 | Correlation: 0.8431000113487244
